"cfda_program_num","cfda_program_title","agency_code","recipient_county_code","recipient_state_code","recipient_country_code","assistance_type","fiscal_year","asst_cat_type","recip_cat_type","fed_funding_amount","non_fed_funding_amount","total_funding_amount","face_loan_guran","orig_sub_guran","agency_name","assistance_type_name","recip_cat_type_name"
"14.135 ","Mortgage Insurance_Rental and Cooperative Housing for Moderate Income Fami","8630","013","NJ","USA","06","2016","d","f",-960000,0,-960000,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","001","NJ","USA","06","2016","d","f",60438,0,60438,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","013","MN","USA","06","2016","d","f",3190,0,3190,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","017","MA","USA","06","2016","d","f",564936,0,564936,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","021","NJ","USA","06","2016","d","f",162000,0,162000,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","025","MA","USA","06","2016","d","f",30598,0,30598,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","027","MA","USA","06","2016","d","f",37000,0,37000,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","031","IL","USA","06","2016","d","f",15858,0,15858,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","031","NJ","USA","06","2016","d","f",99855,0,99855,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","035","OH","USA","06","2016","d","f",6928,0,6928,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","047","NY","USA","06","2016","d","f",923844,0,923844,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","053","MN","USA","06","2016","d","f",295251,0,295251,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","069","PA","USA","06","2016","d","f",92191,0,92191,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","087","NY","USA","06","2016","d","f",973463,0,973463,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","125","MI","USA","06","2016","d","f",206886,0,206886,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","131","MN","USA","06","2016","d","f",19789,0,19789,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","001","CA","USA","06","2016","d","f",1330234,0,1330234,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","001","CO","USA","06","2016","d","f",73000,0,73000,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","001","DE","USA","06","2016","d","f",103319,0,103319,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","003","PA","USA","06","2016","d","f",136738,0,136738,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
