"cfda_program_num","cfda_program_title","agency_code","recipient_county_code","recipient_state_code","recipient_country_code","assistance_type","fiscal_year","asst_cat_type","recip_cat_type","fed_funding_amount","non_fed_funding_amount","total_funding_amount","face_loan_guran","orig_sub_guran","agency_name","assistance_type_name","recip_cat_type_name"
"14.135 ","Mortgage Insurance_Rental and Cooperative Housing for Moderate Income Fami","8630","013","NJ","USA","06","2016","d","f",-960000,0,-960000,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","001","NJ","USA","06","2016","d","f",60438,0,60438,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","013","MN","USA","06","2016","d","f",3190,0,3190,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","017","MA","USA","06","2016","d","f",564936,0,564936,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","021","NJ","USA","06","2016","d","f",162000,0,162000,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","025","MA","USA","06","2016","d","f",30598,0,30598,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.149 ","Rent Supplements_Rental Housing for Lower Income Families                 ","8630","027","MA","USA","06","2016","d","f",37000,0,37000,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","001","CA","USA","06","2016","d","f",1330234,0,1330234,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","001","CO","USA","06","2016","d","f",73000,0,73000,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","001","DE","USA","06","2016","d","f",103319,0,103319,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","003","PA","USA","06","2016","d","f",136738,0,136738,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","003","RI","USA","06","2016","d","f",452183,0,452183,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","005","MD","USA","06","2016","d","f",409406,0,409406,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","005","ME","USA","06","2016","d","f",362246,0,362246,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","005","NH","USA","06","2016","d","f",207405,0,207405,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","005","NY","USA","06","2016","d","f",1044082,0,1044082,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","005","NY","USA","06","2016","d","n",0,0,0,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","Non-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","007","MA","USA","06","2016","d","f",203765,0,203765,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.181 ","Supportive Housing for Persons with Disabilities                          ","8630","453","TX","USA","06","2016","d","f",13421,0,13421,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.181 ","Supportive Housing for Persons with Disabilities                          ","8630","510","MD","USA","06","2016","d","f",86147,0,86147,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.181 ","Supportive Housing for Persons with Disabilities                          ","8630","610","VA","USA","06","2016","d","f",67497,0,67497,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
